station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
D55,2020-02-12 05:55,-98.3937,48.7531,490.00,14.00,14.00,100.00,10.00,25.00,0.00,29.66,,0.25,33.00,BKN,OVC,,,100.00,800.00,,,-SN,,,,,,,-6.56,KD55 120555Z AUTO 01025G33KT 1/4SM -SN BKN001 OVC008 M10/M10 A2966 RMK AO2,
06D,2020-02-12 05:55,-99.6208,48.8844,555.00,8.60,5.00,84.93,20.00,25.00,0.00,29.71,,3.00,31.00,BKN,OVC,,,600.00,900.00,,,-SN,,,,,,,-13.87,K06D 120555Z AUTO 02025G31KT 3SM -SN BKN006 OVC009 M13/M15 A2971 RMK AO2,
2C8,2020-02-12 05:55,-97.6320,48.7837,272.00,17.60,14.00,85.51,360.00,27.00,0.00,29.68,,0.75,37.00,OVC,,,,400.00,,,,-SN,,,,,,,-2.28,K2C8 120555Z AUTO 36027G37KT 3/4SM -SN OVC004 M08/M10 A2968 RMK AO2,
BWP,2020-02-12 05:55,-96.6074,46.2441,294.70,28.40,21.20,74.08,170.00,10.00,0.00,29.67,,10.00,,,,,,,,,,,,,,,,,18.45,KBWP 120555Z AUTO 17010KT 10SM M02/M06 A2967 RMK AO1,
96D,2020-02-12 05:55,-97.9028,48.9406,287.00,14.00,14.00,100.00,350.00,25.00,0.00,29.73,,0.75,35.00,OVC,,,,800.00,,,,-SN,,,,,,,-6.56,K96D 120555Z AUTO 35025G35KT 3/4SM -SN OVC008 M10/M10 A2973 RMK AO2,
S32,2020-02-12 05:55,-98.1059,47.4228,434.00,28.40,28.40,100.00,270.00,9.00,0.00,29.63,,2.50,,FEW,SCT,BKN,,200.00,1000.00,1700.00,,-SN,,,,,,,19.04,KS32 120555Z AUTO 27009KT 2 1/2SM -SN FEW002 SCT010 BKN017 M02/M02 A2963 RMK AO2,
HZE,2020-02-12 05:55,-101.5810,47.2899,552.00,30.20,30.20,100.00,0.00,0.00,0.00,29.66,,2.50,,BKN,BKN,OVC,,400.00,1100.00,2400.00,,-SN,,,,,,,30.20,KHZE 120555Z AUTO 00000KT 2 1/2SM -SN BKN004 BKN011 OVC024 M01/M01 A2966 RMK AO2,
7L2,2020-02-12 05:55,-100.2456,46.2206,541.00,30.20,30.20,100.00,0.00,0.00,0.00,29.66,,10.00,,FEW,BKN,OVC,,2900.00,5000.00,7500.00,,-SN,,,,,,,30.20,K7L2 120555Z AUTO 00000KT 10SM -SN FEW029 BKN050 OVC075 M01/M01 A2966 RMK AO2,
5H4,2020-02-12 05:55,-99.9317,47.7912,489.00,28.40,28.40,100.00,330.00,11.00,0.00,29.65,,9.00,,SCT,BKN,OVC,,800.00,1300.00,1800.00,,-UP,,,,,,,17.92,K5H4 120555Z AUTO 33011KT 9SM -UP SCT008 BKN013 OVC018 M02/M02 A2965 RMK AO2,
BAC,2020-02-12 05:55,-98.0180,46.9412,427.30,26.60,24.80,92.80,260.00,12.00,0.00,29.65,,6.00,,SCT,OVC,,,500.00,6000.00,,,-SN,,,,,,,15.13,KBAC 120555Z AUTO 26012KT 6SM -SN SCT005 OVC060 M03/M04 A2965 RMK AO2,
D50,2020-02-12 05:55,-103.2973,48.9285,594.00,23.00,21.20,92.69,10.00,17.00,0.00,29.73,,10.00,,BKN,BKN,OVC,,1800.00,3000.00,4000.00,,,,,,,,,8.28,KD50 120555Z AUTO 01017KT 10SM BKN018 BKN030 OVC040 M05/M06 A2973 RMK AO2,
GAF,2020-02-12 05:55,-97.3709,48.4047,251.00,28.40,28.40,100.00,300.00,4.00,0.00,29.65,,1.50,,OVC,,,,200.00,,,,-SN,,,,,,,23.22,KGAF 120555Z AUTO 30004KT 1 1/2SM -SN OVC002 M02/M02 A2965 RMK AO2,
Y19,2020-02-12 05:55,-100.8944,46.7680,592.00,28.40,28.40,100.00,300.00,6.00,0.00,29.63,,9.00,,FEW,SCT,OVC,,3300.00,5000.00,7000.00,,,,,,,,,21.19,KY19 120555Z AUTO 30006KT 9SM FEW033 SCT050 OVC070 M02/M02 A2963 RMK AO2,
2D5,2020-02-12 05:55,-98.0799,46.1731,407.00,24.80,23.00,92.74,200.00,9.00,0.00,29.66,,10.00,,,,,,,,,,,,,,,,,14.56,K2D5 120555Z AUTO 20009KT 10SM M04/M05 A2966 RMK AO2,
RUG,2020-02-12 05:55,-100.0243,48.3904,471.00,26.60,24.80,92.80,20.00,13.00,0.00,29.66,,10.00,,BKN,OVC,,,2300.00,3900.00,,,,,,,,,,14.65,KRUG 120555Z AUTO 02013KT 10SM BKN023 OVC039 M03/M04 A2966 RMK AO2,
08D,2020-02-12 05:55,-102.4064,48.3008,682.00,26.60,26.60,100.00,20.00,12.00,0.00,29.67,,10.00,22.00,OVC,,,,900.00,,,,-UP,,,,,,,15.13,K08D 120555Z AUTO 02012G22KT 10SM -UP OVC009 M03/M03 A2967 RMK AO2,
20U,2020-02-12 05:55,-103.9821,46.9252,840.00,32.00,32.00,100.00,280.00,9.00,0.00,29.62,,1.75,,OVC,,,,300.00,,,,-SN,,,,,,,23.51,K20U 120555Z AUTO 28009KT 1 3/4SM -SN OVC003 00/00 A2962 RMK AO2,
9D7,2020-02-12 05:55,-99.2364,48.4800,451.00,15.80,15.80,100.00,20.00,28.00,0.00,29.71,,0.25,36.00,BKN,OVC,,,600.00,1000.00,,,-UP,,,,,,,-5.03,K9D7 120555Z AUTO 02028G36KT 1/4SM -UP BKN006 OVC010 M09/M09 A2971 RMK AO2,
D60,2020-02-12 05:55,-102.8974,48.3803,690.00,24.80,24.80,100.00,20.00,17.00,0.00,29.68,,6.00,24.00,BKN,OVC,,,1000.00,1300.00,,,BR,,,,,,,10.64,KD60 120555Z AUTO 02017G24KT 6SM BR BKN010 OVC013 M04/M04 A2968 RMK AO2,
MIB,2020-02-12 05:56,-101.3580,48.4158,508.00,26.20,22.60,86.04,10.00,13.00,,29.67,1007.40,10.00,,OVC,,,,1000.00,,,,,,,,,,,14.14,KMIB 120556Z 01013KT 10SM OVC010 M03/M05 A2967 RMK SNE45 SLP074 P0000 60000 4/000 T10321052 10002 21032 400101095 52027 $,
RDR,2020-02-12 05:56,-97.4012,47.9611,278.00,30.60,27.50,88.10,290.00,9.00,,29.63,1005.10,7.00,,OVC,,,,4900.00,,,,-SN,,,,,,,21.77,KRDR 120556Z 29009KT 7SM -SN OVC049 M01/M02 A2963 RMK AO2A SLP051 P0000 60000 4/014 T10081025 11004 21021 410041109 52005,
JMS,2020-02-12 05:56,-98.6800,46.9300,457.00,28.90,26.10,89.12,290.00,8.00,,29.62,1005.10,5.00,,BKN,OVC,,,3900.00,5500.00,,,-SN BR,,,,,,,20.29,KJMS 120556Z AUTO 29008KT 5SM -SN BR BKN039 OVC055 M02/M03 A2962 RMK AO2 SNB23 SLP051 P0000 60000 T10171033 11006 21017 400061083 56002,
DIK,2020-02-12 05:56,-102.8019,46.7973,789.00,32.00,30.00,92.22,270.00,6.00,,29.58,1004.00,2.50,,BKN,OVC,,,700.00,1100.00,,,-SN BR,,,,,,,25.53,KDIK 120556Z AUTO 27006KT 2 1/2SM -SN BR BKN007 OVC011 00/M01 A2958 RMK AO2 SNE14B32 SLP040 P0000 60000 T00001011 10006 21017 55002 $,
DVL,2020-02-12 05:56,-98.9083,48.1146,443.00,26.10,24.10,92.01,330.00,18.00,,29.64,1062.60,5.00,23.00,SCT,BKN,OVC,,1000.00,1500.00,2000.00,,-SN BR,,,,,,,11.98,KDVL 120556Z AUTO 33018G23KT 5SM -SN BR SCT010 BKN015 OVC020 M03/M04 A2964 RMK AO2 UPB31E34SNE31B34 SLP626 P0000 60000 T10331044 11011 21033 53011 FZRANO,
BIS,2020-02-12 06:52,-100.7458,46.7727,506.00,30.90,28.90,92.18,300.00,5.00,,29.65,1006.00,3.00,,OVC,,,,4000.00,,,,-SN BR,,,,,,,25.09,KBIS 120652Z AUTO 30005KT 3SM -SN BR OVC040 M01/M02 A2965 RMK AO2 SLP060 P0000 T10061017,
N60,2020-02-12 06:52,-101.4394,47.6458,587.00,28.00,28.00,100.00,10.00,7.00,0.01,29.66,1006.90,,,,,,,,,,,,,,,,,,19.90,KN60 120652Z AUTO 01007KT M02/M02 A2966 RMK AO1 SLP069 P0001 T10221022,
GFK,2020-02-12 06:53,-97.1761,47.9492,257.00,28.90,25.00,85.14,300.00,10.00,0.01,29.64,1005.10,3.00,,BKN,OVC,,,3000.00,4800.00,,,-SN BR,,,,,,,19.08,KGFK 120653Z AUTO 30010KT 3SM -SN BR BKN030 OVC048 M02/M04 A2964 RMK AO2 SLP051 P0001 T10171039,
FAR,2020-02-12 06:53,-96.8111,46.9253,274.00,26.10,21.00,80.75,200.00,5.00,0.00,29.65,1005.60,10.00,,FEW,BKN,,,7500.00,9000.00,,,,,,,,,,19.39,KFAR 120653Z 20005KT 10SM FEW075 BKN090 M03/M06 A2965 RMK AO2 SLP056 T10331061,
HEI,2020-02-12 06:53,-102.6560,46.0149,828.00,30.90,27.00,85.26,260.00,9.00,0.00,29.63,1006.00,10.00,,FEW,BKN,OVC,,3800.00,5500.00,7000.00,,,,,,,,,22.15,KHEI 120653Z AUTO 26009KT 10SM FEW038 BKN055 OVC070 M01/M03 A2963 RMK AO2 SLP060 T10061028 400111150,
MOT,2020-02-12 06:54,-101.2803,48.2594,523.00,26.10,21.90,83.89,350.00,14.00,0.00,29.71,1008.30,10.00,20.00,BKN,OVC,,,1000.00,2900.00,,,,,,,,,,13.56,KMOT 120654Z AUTO 35014G20KT 10SM BKN010 OVC029 M03/M06 A2971 RMK AO2 CIG 008V014 SLP083 T10331056,
GWR,2020-02-12 06:55,-97.6435,46.2187,385.00,26.60,24.80,92.80,250.00,9.00,0.00,29.65,,10.00,,FEW,OVC,,,6500.00,7500.00,,,,,,,,,,16.80,KGWR 120655Z AUTO 25009KT 10SM FEW065 OVC075 M03/M04 A2965 RMK A01,
RUG,2020-02-12 06:55,-100.0243,48.3904,471.00,12.20,8.60,85.17,30.00,25.00,0.00,29.74,,10.00,34.00,OVC,,,,1700.00,,,,,,,,,,,-8.99,KRUG 120655Z AUTO 03025G34KT 10SM OVC017 M11/M13 A2974 RMK AO2,
BAC,2020-02-12 06:55,-98.0180,46.9412,427.30,26.60,26.60,100.00,260.00,7.00,0.00,29.65,,3.00,,SCT,BKN,BKN,,300.00,600.00,2300.00,,-SN,,,,,,,18.20,KBAC 120655Z AUTO 26007KT 3SM -SN SCT003 BKN006 BKN023 M03/M03 A2965 RMK AO2,
08D,2020-02-12 06:55,-102.4064,48.3008,682.00,23.00,23.00,100.00,40.00,13.00,0.00,29.71,,10.00,24.00,BKN,OVC,,,900.00,1400.00,,,,,,,,,,10.04,K08D 120655Z AUTO 04013G24KT 10SM BKN009 OVC014 M05/M05 A2971 RMK AO2,
9D7,2020-02-12 06:55,-99.2364,48.4800,451.00,8.60,8.60,100.00,10.00,34.00,0.00,29.77,,0.75,42.00,OVC,,,,800.00,,,,BR,,,,,,,-16.64,K9D7 120655Z AUTO 01034G42KT 3/4SM BR OVC008 M13/M13 A2977 RMK AO2,
46D,2020-02-12 06:55,-99.1513,47.4511,489.80,30.20,28.40,92.92,320.00,13.00,0.00,29.66,,9.00,,SCT,BKN,OVC,,700.00,1200.00,1900.00,,,,,,,,,19.26,K46D 120655Z AUTO 32013KT 9SM SCT007 BKN012 OVC019 M01/M02 A2966 RMK AO2,
Y19,2020-02-12 06:55,-100.8944,46.7680,592.00,28.40,28.40,100.00,300.00,5.00,0.00,29.64,,5.00,,FEW,SCT,BKN,,3000.00,4400.00,5500.00,,-SN,,,,,,,22.12,KY19 120655Z AUTO 30005KT 5SM -SN FEW030 SCT044 BKN055 M02/M02 A2964 RMK AO2,
D55,2020-02-12 06:55,-98.3937,48.7531,490.00,6.80,5.00,92.12,10.00,28.00,0.00,29.73,,0.50,36.00,BKN,OVC,,,100.00,800.00,,,-SN,,,,,,,-17.33,KD55 120655Z AUTO 01028G36KT 1/2SM -SN BKN001 OVC008 M14/M15 A2973 RMK AO2,
GAF,2020-02-12 06:55,-97.3709,48.4047,251.00,15.80,15.80,100.00,350.00,28.00,0.00,29.71,,0.25,41.00,OVC,,,,100.00,,,,-SN,,,,,,,-5.03,KGAF 120655Z AUTO 35028G41KT 1/4SM -SN OVC001 M09/M09 A2971 RMK AO2,
HZE,2020-02-12 06:55,-101.5810,47.2899,552.00,28.40,28.40,100.00,0.00,0.00,0.00,29.68,,4.00,,SCT,BKN,OVC,,1000.00,1400.00,6000.00,,-SN,,,,,,,28.40,KHZE 120655Z AUTO 00000KT 4SM -SN SCT010 BKN014 OVC060 M02/M02 A2968 RMK AO2,
JMS,2020-02-12 06:56,-98.6800,46.9300,457.00,28.90,27.00,92.49,290.00,7.00,,29.63,1005.20,6.00,,FEW,BKN,OVC,,2200.00,4800.00,7000.00,,-SN BR,,,,,,,21.00,KJMS 120656Z AUTO 29007KT 6SM -SN BR FEW022 BKN048 OVC070 M02/M03 A2963 RMK AO2 SLP052 P0000 T10171028,
RDR,2020-02-12 06:56,-97.4012,47.9611,278.00,29.70,28.20,94.05,330.00,10.00,,29.65,1005.80,7.00,,SCT,BKN,OVC,,1200.00,3100.00,4800.00,,-SN,,,,,,,20.08,KRDR 120656Z 33010KT 7SM -SN SCT012 BKN031 OVC048 M01/M02 A2965 RMK AO2A UPB0550E0556SNB0556 SLP058 P0000 T10131021,
DIK,2020-02-12 06:56,-102.8019,46.7973,789.00,32.00,30.00,92.22,290.00,6.00,0.02,29.59,1004.30,1.25,,SCT,OVC,,,600.00,1300.00,,,-SN BR,,,,,,,25.53,KDIK 120656Z AUTO 29006KT 1 1/4SM -SN BR SCT006 OVC013 00/M01 A2959 RMK AO2 SLP043 P0002 T00001011 400171111 $,
DVL,2020-02-12 06:56,-98.9083,48.1146,443.00,12.00,10.00,91.49,10.00,25.00,,29.70,1064.80,0.50,,BKN,OVC,,,600.00,1600.00,,,-SN FZFG,,,,36.00,360.00,2020-02-12 06:25,-9.26,KDVL 120656Z AUTO 01025KT 1/2SM -SN FZFG BKN006 OVC016 M11/M12 A2970 RMK AO2 PK WND 36036/0625 UPB11E29SNE11B29 CIG 004V009 PRESRR SLP648 P0000 T11111122 FZRANO,
N60,2020-02-12 07:52,-101.4394,47.6458,587.00,25.00,21.90,87.81,30.00,14.00,0.00,29.71,1008.50,,26.00,,,,,,,,,,,,,26.00,40.00,2020-02-12 07:46,12.14,KN60 120752Z AUTO 03014G26KT M04/M06 A2971 RMK AO1 PK WND 04026/0746 SLP085 T10391056,
BIS,2020-02-12 07:52,-100.7458,46.7727,506.00,30.90,28.90,92.18,320.00,3.00,0.01,29.67,1006.50,9.00,,BKN,BKN,OVC,,1200.00,1800.00,3500.00,,-SN,,,,,,,27.43,KBIS 120752Z AUTO 32003KT 9SM -SN BKN012 BKN018 OVC035 M01/M02 A2967 RMK AO2 SLP065 P0001 T10061017,
FAR,2020-02-12 07:53,-96.8111,46.9253,274.00,28.00,23.00,81.25,260.00,7.00,,29.65,1005.40,6.00,,BKN,OVC,,,5000.00,6500.00,,,-SN,,,,,,,19.90,KFAR 120753Z 26007KT 6SM -SN BKN050 OVC065 M02/M05 A2965 RMK AO2 SNB42 SLP054 P0000 T10221050,
HEI,2020-02-12 07:53,-102.6560,46.0149,828.00,30.90,28.90,92.18,270.00,12.00,,29.64,1006.00,2.50,,BKN,BKN,OVC,,2800.00,3600.00,7000.00,,-SN BR,,,,,,,20.60,KHEI 120753Z AUTO 27012KT 2 1/2SM -SN BR BKN028 BKN036 OVC070 M01/M02 A2964 RMK AO2 SNB00 SLP060 P0000 T10061017,
MOT,2020-02-12 07:54,-101.2803,48.2594,523.00,12.90,8.10,80.74,350.00,24.00,,29.80,1012.00,7.00,34.00,OVC,,,,1500.00,,,,-SN,,,,34.00,340.00,2020-02-12 07:53,-7.71,KMOT 120754Z AUTO 35024G34KT 7SM -SN OVC015 M11/M13 A2980 RMK AO2 PK WND 34034/0753 SNB53 PRESRR SLP120 P0000 T11061133,
BAC,2020-02-12 07:55,-98.0180,46.9412,427.30,26.60,26.60,100.00,300.00,8.00,0.00,29.65,,5.00,,FEW,BKN,OVC,,300.00,1400.00,2500.00,,-SN,,,,,,,17.46,KBAC 120755Z AUTO 30008KT 5SM -SN FEW003 BKN014 OVC025 M03/M03 A2965 RMK AO2,
96D,2020-02-12 07:55,-97.9028,48.9406,287.00,3.20,3.20,100.00,350.00,21.00,0.00,29.87,,2.00,,SCT,OVC,,,700.00,1100.00,,,-SN,,,,,,,-19.56,K96D 120755Z AUTO 35021KT 2SM -SN SCT007 OVC011 M16/M16 A2987 RMK AO2,
Y19,2020-02-12 07:55,-100.8944,46.7680,592.00,28.40,28.40,100.00,330.00,4.00,0.00,29.66,,8.00,,FEW,FEW,SCT,,2100.00,2800.00,5000.00,,-SN,,,,,,,23.22,KY19 120755Z AUTO 33004KT 8SM -SN FEW021 FEW028 SCT050 M02/M02 A2966 RMK AO2,
08D,2020-02-12 07:55,-102.4064,48.3008,682.00,15.80,14.00,92.44,40.00,15.00,0.00,29.78,,10.00,25.00,OVC,,,,1000.00,,,,-SN,,,,,,,-0.22,K08D 120755Z AUTO 04015G25KT 10SM -SN OVC010 M09/M10 A2978 RMK AO2,
D60,2020-02-12 07:55,-102.8974,48.3803,690.00,15.80,17.60,,40.00,27.00,0.00,29.80,,7.00,,OVC,,,,900.00,,,,,,,,,,,,KD60 120755Z AUTO 04027KT 7SM OVC009 M09/M08 A2980 RMK AO2,
D50,2020-02-12 07:55,-103.2973,48.9285,594.00,15.80,14.00,92.44,40.00,19.00,0.00,29.88,,9.00,26.00,BKN,OVC,,,1200.00,1900.00,,,,,,,,,,-1.99,KD50 120755Z AUTO 04019G26KT 9SM BKN012 OVC019 M09/M10 A2988 RMK AO2,
2D5,2020-02-12 07:55,-98.0799,46.1731,407.00,24.80,23.00,92.74,250.00,5.00,0.00,29.66,,9.00,,,,,,,,,,,,,,,,,17.84,K2D5 120755Z AUTO 25005KT 9SM M04/M05 A2966 RMK AO2,
7L2,2020-02-12 07:55,-100.2456,46.2206,541.00,26.60,26.60,100.00,0.00,0.00,0.00,29.67,,9.00,,OVC,,,,2200.00,,,,-UP,,,,,,,26.60,K7L2 120755Z AUTO 00000KT 9SM -UP OVC022 M03/M03 A2967 RMK AO2,
S25,2020-02-12 07:55,-103.2552,47.7966,642.00,26.60,26.60,100.00,10.00,14.00,0.00,29.76,,1.75,,BKN,OVC,,,100.00,1200.00,,,BR,,,,,,,14.20,KS25 120755Z AUTO 01014KT 1 3/4SM BR BKN001 OVC012 M03/M03 A2976 RMK AO2,
20U,2020-02-12 07:55,-103.9821,46.9252,840.00,28.40,28.40,100.00,360.00,17.00,0.00,29.71,,2.50,22.00,BKN,BKN,OVC,,500.00,800.00,1200.00,,-SN,,,,,,,15.36,K20U 120755Z AUTO 36017G22KT 2 1/2SM -SN BKN005 BKN008 OVC012 M02/M02 A2971 RMK AO2,
S32,2020-02-12 07:55,-98.1059,47.4228,434.00,28.40,28.40,100.00,340.00,16.00,0.00,29.65,,8.00,,SCT,SCT,BKN,,1300.00,2000.00,2800.00,,-SN,,,,,,,15.73,KS32 120755Z AUTO 34016KT 8SM -SN SCT013 SCT020 BKN028 M02/M02 A2965 RMK AO2,
5H4,2020-02-12 07:55,-99.9317,47.7912,489.00,12.20,6.80,78.51,40.00,29.00,0.00,29.77,,9.00,37.00,BKN,OVC,,,900.00,1400.00,,,-SN,,,,,,,-10.25,K5H4 120755Z AUTO 04029G37KT 9SM -SN BKN009 OVC014 M11/M14 A2977 RMK AO2,
2C8,2020-02-12 07:55,-97.6320,48.7837,272.00,5.00,1.40,84.68,350.00,23.00,0.00,29.83,,0.50,35.00,OVC,,,,300.00,,,,-SN,,,,,,,-17.98,K2C8 120755Z AUTO 35023G35KT 1/2SM -SN OVC003 M15/M17 A2983 RMK AO2,
06D,2020-02-12 07:55,-99.6208,48.8844,555.00,1.40,-9.40,59.64,10.00,23.00,0.00,29.84,,10.00,29.00,OVC,,,,3100.00,,,,,,,,,,,-22.82,K06D 120755Z AUTO 01023G29KT 10SM OVC031 M17/M23 A2984 RMK AO2,
RUG,2020-02-12 07:55,-100.0243,48.3904,471.00,5.00,-0.40,77.84,40.00,30.00,0.00,29.80,,10.00,37.00,OVC,,,,2200.00,,,,-SN,,,,,,,-20.45,KRUG 120755Z AUTO 04030G37KT 10SM -SN OVC022 M15/M18 A2980 RMK AO2,
D55,2020-02-12 07:55,-98.3937,48.7531,490.00,3.20,1.40,91.99,10.00,30.00,0.00,29.77,,0.25,37.00,,,,,,,,,-SN,,,,,,,-22.92,KD55 120755Z AUTO 01030G37KT 1/4SM -SN M16/M17 A2977 RMK AO2,
HZE,2020-02-12 07:55,-101.5810,47.2899,552.00,30.20,30.20,100.00,10.00,13.00,0.00,29.71,,10.00,,BKN,OVC,,,1400.00,1900.00,,,,,,,,,,19.26,KHZE 120755Z AUTO 01013KT 10SM BKN014 OVC019 M01/M01 A2971 RMK AO2,
GAF,2020-02-12 07:55,-97.3709,48.4047,251.00,10.40,8.60,92.25,340.00,33.00,0.00,29.77,,0.25,41.00,BKN,BKN,,,200.00,800.00,,,-SN,,,,,,,-13.87,KGAF 120755Z AUTO 34033G41KT 1/4SM -SN BKN002 BKN008 M12/M13 A2977 RMK AO2,
BWP,2020-02-12 07:55,-96.6074,46.2441,294.70,26.60,21.20,79.77,0.00,0.00,0.00,29.66,,10.00,,,,,,,,,,,,,,,,,26.60,KBWP 120755Z AUTO 00000KT 10SM M03/M06 A2966 RMK AO1,
46D,2020-02-12 07:55,-99.1513,47.4511,489.80,17.60,15.80,92.50,10.00,28.00,0.00,29.71,,0.50,33.00,OVC,,,,100.00,,,,-SN,,,,,,,-2.57,K46D 120755Z AUTO 01028G33KT 1/2SM -SN OVC001 M08/M09 A2971 RMK AO2,
GWR,2020-02-12 07:55,-97.6435,46.2187,385.00,26.60,24.80,92.80,270.00,10.00,0.00,29.65,,10.00,,BKN,OVC,,,6000.00,7000.00,,,,,,,,,,16.20,KGWR 120755Z AUTO 27010KT 10SM BKN060 OVC070 M03/M04 A2965 RMK A01,
9D7,2020-02-12 07:55,-99.2364,48.4800,451.00,5.00,5.00,100.00,10.00,29.00,0.00,29.83,,2.00,35.00,FEW,BKN,OVC,,700.00,2500.00,3000.00,,-SN,,,,,,,-20.13,K9D7 120755Z AUTO 01029G35KT 2SM -SN FEW007 BKN025 OVC030 M15/M15 A2983 RMK AO2,
RDR,2020-02-12 07:56,-97.4012,47.9611,278.00,13.10,10.40,88.72,10.00,30.00,0.01,29.73,1008.80,0.25,37.00,VV ,,,,600.00,,,,BLSN FZFG,,,,43.00,360.00,2020-02-12 07:04,-9.30,KRDR 120756Z 01030G37KT 1/4SM R35/2000V3500FT BLSN FZFG VV006 M10/M12 A2973 RMK AO2A PK WND 36043/04 SLP088 P0001 T11051120,
DVL,2020-02-12 07:56,-98.9083,48.1146,443.00,7.00,3.00,83.27,10.00,28.00,,29.78,1067.20,0.75,35.00,OVC,,,,800.00,,,,-SN BR,,,,35.00,10.00,2020-02-12 07:48,-17.06,KDVL 120756Z AUTO 01028G35KT 3/4SM -SN BR OVC008 M14/M16 A2978 RMK AO2 PK WND 01035/0748 CIG 006V011 PRESRR SLP672 P0000 T11391161 FZRANO,
JMS,2020-02-12 07:56,-98.6800,46.9300,457.00,28.90,28.00,96.38,310.00,7.00,,29.64,1005.40,3.00,,FEW,FEW,OVC,,1300.00,2000.00,2800.00,,-SN BR,,,,,,,21.00,KJMS 120756Z AUTO 31007KT 3SM -SN BR FEW013 FEW020 OVC028 M02/M02 A2964 RMK AO2 SLP054 P0000 T10171022,
DIK,2020-02-12 07:56,-102.8019,46.7973,789.00,30.00,28.00,92.15,20.00,14.00,0.02,29.63,1005.90,1.25,20.00,OVC,,,,600.00,,,,-SN BR,,,,,,,18.58,KDIK 120756Z AUTO 02014G20KT 1 1/4SM -SN BR OVC006 M01/M02 A2963 RMK AO2 SLP059 P0002 T10111022 $,
N60,2020-02-12 08:52,-101.4394,47.6458,587.00,16.00,14.00,91.64,30.00,20.00,0.00,29.78,1011.40,,34.00,,,,,,,,,,,,,35.00,20.00,2020-02-12 08:28,-2.11,KN60 120852Z AUTO 03020G34KT M09/M10 A2978 RMK AO1 PK WND 02035/0828 SLP114 60001 T10891100 53048,
BIS,2020-02-12 08:52,-100.7458,46.7727,506.00,30.90,28.00,88.84,360.00,11.00,,29.71,1007.70,4.00,,BKN,OVC,,,1100.00,1800.00,,,-SN BR,,,,,,,21.08,KBIS 120852Z AUTO 36011KT 4SM -SN BR BKN011 OVC018 M01/M02 A2971 RMK AO2 SNE0753B09 SLP077 P0000 60001 T10061022 53021,
FAR,2020-02-12 08:53,-96.8111,46.9253,274.00,27.00,25.00,92.05,280.00,7.00,0.02,29.66,1005.80,2.50,,BKN,OVC,,,3600.00,4900.00,,,-SN BR,,,,,,,18.68,KFAR 120853Z 28007KT 2 1/2SM -SN BR BKN036 OVC049 M03/M04 A2966 RMK AO2 SLP058 P0002 60002 T10281039 53003,
GFK,2020-02-12 08:53,-97.1761,47.9492,257.00,8.10,5.00,86.86,350.00,34.00,,29.78,1010.00,0.25,48.00,VV ,,,,600.00,,,,-SN FZFG,,,,49.00,350.00,2020-02-12 07:59,-17.33,KGFK 120853Z AUTO 35034G48KT 1/4SM R35L/1400V4000FT -SN FZFG VV006 M13/M15 A2978 RMK AO2 PK WND 35049/0759 SLP100 P0000 60001 T11331150 53047 $,
HEI,2020-02-12 08:53,-102.6560,46.0149,828.00,32.00,30.90,95.65,280.00,10.00,,29.65,1006.30,1.00,,OVC,,,,800.00,,,,-SN BR,,,,,,,22.97,KHEI 120853Z AUTO 28010KT 1SM -SN BR OVC008 00/M01 A2965 RMK AO2 SLP063 P0000 60000 T00001006 51005,
MOT,2020-02-12 08:54,-101.2803,48.2594,523.00,9.00,1.00,69.33,10.00,25.00,,29.89,1015.10,10.00,33.00,OVC,,,,2500.00,,,,,,,,33.00,360.00,2020-02-12 08:17,-13.33,KMOT 120854Z AUTO 01025G33KT 10SM OVC025 M13/M17 A2989 RMK AO2 PK WND 36033/0817 SNE19 SLP151 P0000 60000 T11281172 53072,
GAF,2020-02-12 08:55,-97.3709,48.4047,251.00,5.00,3.20,92.06,340.00,32.00,0.00,29.85,,0.25,41.00,VV ,,,,200.00,,,,-SN,,,,,,,-21.06,KGAF 120855Z AUTO 34032G41KT 1/4SM -SN VV002 M15/M16 A2985 RMK AO2,
RUG,2020-02-12 08:55,-100.0243,48.3904,471.00,3.20,-5.80,65.38,30.00,29.00,0.00,29.86,,10.00,36.00,SCT,OVC,,,2600.00,3700.00,,,,,,,,,,-22.59,KRUG 120855Z AUTO 03029G36KT 10SM SCT026 OVC037 M16/M21 A2986 RMK AO2,
5H4,2020-02-12 08:55,-99.9317,47.7912,489.00,8.60,3.20,78.18,40.00,25.00,0.00,29.83,,10.00,30.00,SCT,OVC,,,900.00,2000.00,,,-SN,,,,,,,-13.87,K5H4 120855Z AUTO 04025G30KT 10SM -SN SCT009 OVC020 M13/M16 A2983 RMK AO2,
2C8,2020-02-12 08:55,-97.6320,48.7837,272.00,1.40,-4.00,77.49,360.00,27.00,0.00,29.90,,0.75,36.00,BKN,OVC,,,600.00,1100.00,,,UP,,,,,,,-24.36,K2C8 120855Z AUTO 36027G36KT 3/4SM UP BKN006 OVC011 M17/M20 A2990 RMK AO2,
